Biomarker,p-value,Bayes Factor,Odds Ratio
AUC for Cl (0-35min),0.0001,264.17,1017.19
AUC for Cl (0-inf),0.00199,23.64,50.25
Biliary excretion rate,0.01533,4.68,24.4
Biliary tissue excretion rate,0.01661,4.4,20.69
Final biliary excretion rate,0.07399,1.42,6.03
Final hepatocellular uptake rate,0.02396,3.31,13.0
Gut dispersion,0.37833,0.48,0.42
Gut mean transit time,0.30326,0.54,0.32
Hepatocellular mean transit time,0.16657,0.8,0.21
Hepatocellular tissue uptake rate,0.02861,2.89,12.13
Hepatocellular uptake rate,0.00232,20.86,60.47
Initial biliary excretion rate,0.12207,0.99,4.95
Initial hepatocellular uptake rate,2e-05,1054.0,9919.24
Liver T1-MOLLI at 45min,0.0,6244.03,0.0
Liver T1-MOLLI at baseline,0.3834,0.48,0.73
Liver T1-MOLLI at scan 2,0.00215,22.19,0.06
Liver extracellular volume fraction,0.03628,2.42,0.1
Liver plasma clearance,0.00187,24.85,73.73
RE for R1l at 20min,7e-05,376.64,1013.36
RE for Sl at 20min,8e-05,342.72,813.84
